gene	alpha 0X	alpha 7X	alpha 14X	alpha 21X	alpha 28X	alpha 35X	alpha 42X	alpha 49X	alpha 56X	alpha 63X	alpha 70X	alpha 77X	alpha 84X	alpha 91X	alpha 98X	alpha 105X	alpha 112X	alpha 119X	Elu 0X	Elu 30X	Elu 60X	Elu 90X	Elu 120X	Elu 150X	Elu 180X	Elu 210X	Elu 240X	Elu 270X	Elu 300X	Elu 330X	Elu 360X	Elu 390X	cdc15 10X	cdc15 30X	cdc15 50X	cdc15 70X	cdc15 90X	cdc15 110X	cdc15 130X	cdc15 150X	cdc15 170X	cdc15 190X	cdc15 210X	cdc15 230X	cdc15 250X	cdc15 270X	cdc15 290X	spo 0X	spo 2X	spo 5X	spo 7X	spo 9X	spo 11X	spo5 2X	spo5 7X	spo5 11X	spo  earlyX	spo  midX	heat 0X	heat 10X	heat 20X	heat 40X	heat 80X	heat 160X	dtt 15X	dtt 30X	dtt 60X	dtt 120X	cold 0X	cold 20X	cold 40X	cold 160X	diau aX	diau bX	diau cX	diau dX	diau eX	diau fX	diau gX
YAL001C	-0.907	-0.907	-1.05	0.0146	-1.66	-1.74	-0.907	0.533	-0.735	-0.245	0.0723	 1.43	-1.17	0.101	-0.85	 1.28	-1.05	 0.36	0.763	-0.446	 0.59	0.418	-0.792	0.216	-0.446	0.994	0.101	-0.331	-1.02	0.0146	-1.48	0.0146	-0.475	0.216	-0.677	0.0723	-0.389	-1.28	0.302	-0.158	 1.69	-0.85	-1.28	0.0723	-0.0142	0.0146	-0.792	0.0723	-0.245	-0.475	0.188	-0.648	-0.0717	-0.158	-0.101	 0.59	 1.17	0.418	-0.302	 1.22	 0.59	0.706	0.0723	 1.86	-2.38	-0.245	   -2	 -1.8	 1.17	 1.11	 2.87	 1.02	0.0146	0.418	  1.4	 1.57	0.792	 2.41	 1.17
YAL002W	-0.288	0.282	0.0372	0.146	0.119	-0.695	0.119	 2.18	-0.613	-0.559	0.337	0.554	-0.695	-0.804	0.608	 1.59	-0.994	0.364	  0.2	0.282	-0.0985	0.744	-0.0985	-0.396	-0.559	-0.749	-0.342	-0.451	-0.695	0.0372	-0.153	-0.261	0.418	0.527	0.744	-0.451	0.499	-0.559	0.254	-0.396	0.717	0.527	-0.207	 1.61	0.337	0.0372	-2.03	0.635	0.907	-0.342	-2.51	 -1.4	0.337	 2.07	-0.939	0.744	0.689	-0.994	-0.0172	-1.62	 1.37	 1.64	-0.804	0.0372	-2.99	-1.21	-0.939	-1.54	0.0643	 -1.4	-0.153	0.418	0.499	 1.91	0.418	0.418	-0.0985	0.689	 2.96
YAL003W	0.368	-0.366	0.678	0.137	0.0338	-0.198	0.691	0.755	0.665	 1.28	0.368	0.922	0.562	  0.6	0.613	 1.26	0.446	0.974	-1.34	 0.24	-0.134	 1.13	0.871	    1	0.832	 1.14	0.935	 0.91	0.278	0.497	 1.08	0.665	-0.0307	0.162	 0.24	0.497	0.124	0.137	0.162	0.175	0.484	0.356	0.368	 1.17	-0.16	-0.134	-0.0822	0.652	 -1.3	-1.65	-2.37	-1.05	-1.09	0.678	-0.469	 1.12	-2.45	-3.58	 0.51	0.227	-0.508	-1.44	-0.469	-1.88	0.858	-0.16	0.278	-1.13	0.484	0.124	-1.13	 -1.3	0.665	0.356	0.304	-0.469	-0.855	-1.65	-2.63
YAL005C	0.269	-0.157	-0.104	 0.26	 0.41	0.251	0.535	0.481	0.419	0.747	-0.0594	0.561	0.047	0.162	0.047	0.913	0.109	0.517	 0.49	0.552	0.118	0.792	0.171	-0.175	 0.34	0.428	0.827	0.756	0.189	0.756	  1.1	 1.14	-1.44	-2.23	-2.41	-2.41	-2.52	-2.41	-2.07	-2.07	 -1.8	0.198	-0.281	0.931	0.207	0.0736	-0.00617	0.738	-0.949	-0.949	-1.58	-1.44	 -1.8	0.207	-0.121	-0.299	0.384	 0.26	0.904	 2.28	 1.69	 1.06	 1.18	0.561	-0.769	-0.0239	 1.21	0.118	 0.65	0.118	0.0381	0.464	0.304	0.251	0.233	0.189	0.0913	0.207	0.0647
YAL010C	0.101	0.443	0.443	-0.187	-0.619	-0.187	0.299	-0.061	0.191	0.659	-0.692	0.749	0.389	-0.061	-1.09	 1.13	0.749	0.443	 1.33	 1.06	0.155	-0.782	-0.511	-0.187	0.785	-0.025	0.101	0.155	0.731	0.209	-1.56	0.209	0.0109	0.335	0.245	-0.025	-0.511	-0.115	-0.115	-0.061	0.191	0.461	-0.583	 1.72	-0.295	-0.295	-0.511	0.749	-0.908	-1.79	-2.94	-2.67	-2.41	0.749	-0.619	-0.692	0.335	0.569	 4.77	0.0109	0.137	0.191	0.407	-0.295	-0.385	-0.223	0.479	0.335	-0.0791	 1.11	-0.151	0.443	-1.66	0.281	0.533	-1.14	 -1.2	 1.13	0.137
YAL012W	0.424	-0.00294	-0.197	0.0336	0.229	0.119	  0.9	0.436	0.705	0.997	0.0336	0.558	0.254	-0.0273	0.168	0.973	0.473	0.558	-1.09	  0.9	0.119	0.595	0.644	0.717	0.851	0.546	0.619	 1.09	0.412	0.644	0.0215	0.705	-0.246	-0.783	-0.332	0.327	-0.149	-0.441	-0.00294	0.363	0.193	0.241	0.132	0.546	-0.0273	-0.0639	-0.149	0.278	-0.783	-1.76	-3.22	-2.77	-2.68	0.802	-0.38	0.607	-2.41	-2.34	 1.03	 1.05	0.339	 1.29	  0.9	0.119	-0.246	-2.19	0.473	 0.68	0.802	0.412	0.0946	0.705	0.375	0.229	0.912	-0.466	-0.661	-1.28	-2.88
YAL013W	-0.821	-0.421	0.00268	-0.751	-0.61	-0.28	0.0967	0.0261	0.167	0.167	0.661	0.897	-0.539	-0.28	 0.12	 1.37	-0.586	0.591	 1.41	-0.492	-0.774	0.379	-0.162	-0.704	-0.162	0.308	-0.209	-0.209	-0.963	-0.0916	-0.704	0.00268	-0.162	 1.16	 0.12	0.285	 1.16	-0.28	0.709	-0.398	0.00268	-0.068	0.403	  1.3	0.873	-0.492	-2.28	0.544	-1.06	-1.43	-1.65	-0.774	-1.43	0.191	-1.57	 0.12	 1.06	0.614	 1.37	 2.31	 1.25	 2.38	 1.27	 1.13	-0.304	-1.65	-0.28	-1.57	0.661	 1.65	 1.58	 1.96	-1.86	-0.751	-0.28	-1.81	-1.57	0.426	-0.304
YAL015C	0.353	 0.31	 0.59	-0.164	0.0726	 0.87	0.978	-0.25	 1.17	0.202	-0.0566	-0.0136	-0.25	-0.0136	0.547	0.547	0.805	0.353	-1.07	-1.18	-0.293	-0.25	0.0295	-1.28	-0.81	-0.164	0.267	-0.487	-0.767	0.267	 0.18	 -0.4	0.245	0.482	0.547	-0.767	0.202	0.655	0.0941	0.633	-0.53	-0.357	0.482	 1.71	-0.0566	-0.96	 0.59	 0.18	-0.767	-2.28	-3.08	-2.52	-3.29	 1.82	-0.594	 1.54	-1.78	-1.78	0.698	0.482	 1.28	0.719	0.978	0.913	-1.07	-0.0782	-0.81	-0.207	0.633	0.418	0.719	-0.164	0.418	0.137	0.137	0.245	0.741	 2.35	0.956
YAL016W	-0.0614	-0.173	0.184	-0.507	-0.173	-0.708	0.162	-3.19	0.162	-0.0614	-0.173	 0.23	0.00565	-0.0614	 0.23	0.117	0.476	0.184	    2	-0.865	-0.82	0.252	-1.04	-0.708	 0.23	-0.0614	 1.15	0.521	-0.708	 1.08	0.454	0.655	0.454	0.409	0.409	0.722	0.409	0.521	0.722	0.454	0.364	0.319	0.162	-0.664	0.632	0.387	0.543	0.364	-1.38	-2.26	-4.09	-1.42	-2.57	 1.26	-1.53	-0.865	-0.552	-1.78	0.117	  1.5	 1.12	0.543	0.565	-0.0614	-0.173	-0.708	0.364	-0.128	  0.9	0.967	 1.01	0.454	0.722	0.565	0.722	 0.23	0.00565	 1.35	0.184
YAL021C	-0.51	-0.712	-0.654	-0.0741	0.0996	-0.277	0.0417	0.938	-0.712	0.158	-0.365	0.678	0.0417	-0.0452	0.649	-0.132	-0.799	0.244	0.0996	-0.0741	0.0128	0.851	0.215	-0.0452	 1.29	-0.0741	0.649	 1.05	-0.915	 0.33	-0.0452	-0.365	-0.857	0.649	0.793	-0.132	-0.365	-0.219	0.0128	-1.09	0.0417	-0.452	-1.23	0.446	-0.973	-0.452	-1.35	0.129	0.129	-0.161	-0.394	-0.0741	-0.307	-0.132	0.475	-0.161	-1.03	-0.365	0.244	0.851	 1.08	  3.5	0.793	  2.5	-1.55	-1.44	 -2.3	-0.654	 1.46	 1.17	  2.9	 2.73	-0.0452	-0.307	-0.452	-0.799	-1.18	-0.857	-2.22
